Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;0;31;35;pick&drop_mission;13357;13355
0;0;45;9;pick&drop_mission;13355;13351
0;0;47;28;pick&drop_mission;13351;14192
0;0;49;19;pick&drop_mission;14192;13346
0;0;51;14;pick&drop_mission;13346;14196
0;0;53;12;pick&drop_mission;14196;14243
0;0;56;4;pick&drop_mission;14243;1542
0;0;37;55;pick&drop_mission;297;14293
0;0;42;30;pick&drop_mission;14293;14188
0;0;45;5;pick&drop_mission;14188;13357
0;0;47;32;pick&drop_mission;13357;13355
0;0;49;42;pick&drop_mission;13355;13351
0;0;52;11;pick&drop_mission;13351;14192
0;0;54;0;pick&drop_mission;14192;13346
0;0;56;19;pick&drop_mission;13346;14196
0;0;58;21;pick&drop_mission;14196;14243
0;0;2;4;pick&drop_mission;1549;332
0;0;50;37;pick&drop_mission;304;1549
0;0;1;50;pick&drop_mission;13357;13355
0;0;3;43;pick&drop_mission;13355;14192
0;0;5;53;pick&drop_mission;14192;13349
0;0;23;23;pick&drop_mission;13349;1542
0;0;32;6;pick&drop_mission;1542;141
0;0;34;45;pick&drop_mission;290;14293
0;0;40;23;pick&drop_mission;14293;14188
0;0;42;34;pick&drop_mission;14188;13357
0;0;44;35;pick&drop_mission;13357;13355
0;0;47;15;pick&drop_mission;13355;14192
0;0;49;24;pick&drop_mission;14192;13349
0;0;53;28;pick&drop_mission;13349;1542
0;0;5;37;pick&drop_mission;9374;3855
0;0;45;0;pick&drop_mission;7489;3678
0;0;2;0;pick&drop_mission;9382;1196
0;1;5;59;pick&drop_mission;1542;332
0;1;8;43;pick&drop_mission;318;14188
0;1;12;50;pick&drop_mission;14188;13353
0;1;14;51;pick&drop_mission;13353;13346
0;1;18;10;pick&drop_mission;13346;14245
0;1;20;26;pick&drop_mission;14245;13343
0;1;36;25;pick&drop_mission;13343;1542
0;1;52;32;pick&drop_mission;1542;14243
0;1;2;52;pick&drop_mission;290;14188
0;1;7;35;pick&drop_mission;14188;13355
0;1;10;4;pick&drop_mission;13355;14194
0;1;12;17;pick&drop_mission;14194;13344
0;1;15;12;pick&drop_mission;13344;1542
0;1;28;41;pick&drop_mission;1542;332
0;1;32;10;pick&drop_mission;290;14188
0;1;36;13;pick&drop_mission;14188;13355
0;1;32;21;pick&drop_mission;13342;14243
0;1;53;53;pick&drop_mission;14243;1542
0;1;3;9;pick&drop_mission;1542;332
0;1;6;31;pick&drop_mission;304;14188
0;1;10;26;pick&drop_mission;14188;13355
0;1;13;1;pick&drop_mission;13355;14194
0;1;15;18;pick&drop_mission;14194;13344
0;1;40;34;pick&drop_mission;13344;1542
0;1;12;5;pick&drop_mission;1542;431
0;1;16;55;pick&drop_mission;304;14188
0;1;21;32;pick&drop_mission;14188;13351
0;1;23;49;pick&drop_mission;13351;14192
0;1;25;45;pick&drop_mission;14192;13343
0;1;27;58;pick&drop_mission;13343;1542
0;1;41;4;pick&drop_mission;1542;197
0;1;44;56;pick&drop_mission;304;14188
0;1;48;52;pick&drop_mission;14188;13351
0;1;51;0;pick&drop_mission;13351;14192
0;1;52;51;pick&drop_mission;14192;13343
0;1;0;56;pick&drop_mission;304;13355
0;1;5;7;pick&drop_mission;13355;13346
0;1;9;23;pick&drop_mission;13346;14196
0;1;11;33;pick&drop_mission;14196;13344
0;1;33;50;pick&drop_mission;13344;1549
0;1;8;2;pick&drop_mission;297;14188
0;1;15;35;pick&drop_mission;14188;13355
0;1;18;2;pick&drop_mission;13355;14194
0;1;20;15;pick&drop_mission;14194;13344
