Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;6;6;15;missEBM;1524;1419
0;6;7;11;missEBM;1966;4863
0;6;7;35;missEBM;1524;1419
0;6;11;53;missEBM;1524;1419
0;6;13;10;missEBM;1524;2786
0;6;14;25;missEBM;1524;4781
0;6;15;54;missEBM;1977;4863
0;6;16;30;missEBM;1524;4667
0;6;17;42;missEBM;1977;2856
0;6;17;46;missEBM;1524;1419
0;6;18;59;missEBM;1524;1419
0;6;19;36;missEBM;1977;4865
0;6;20;14;missEBM;1524;1419
0;6;21;31;missEBM;1977;4863
0;6;21;39;missEBM;1524;1419
0;6;22;13;missEBM;1966;2856
0;6;22;51;missEBM;1524;1419
0;6;23;0;missEBM;1977;4849
0;6;25;3;missEBM;1524;1419
0;6;26;21;missEBM;1524;1419
0;6;27;38;missEBM;1524;1419
0;6;29;9;missEBM;1524;4723
0;6;30;26;missEBM;1524;1419
0;6;31;59;missEBM;1524;1419
0;6;32;14;missEBM;1966;5099
0;6;33;11;missEBM;1524;4709
0;6;34;16;missEBM;1966;2786
0;6;34;24;missEBM;1524;4767
0;6;35;38;missEBM;1524;1419
0;6;36;54;missEBM;1524;1419
0;6;39;4;missEBM;1524;4667
0;6;41;21;missEBM;1524;1419
0;6;42;38;missEBM;1524;1419
0;6;43;52;missEBM;1524;4669
0;6;45;4;missEBM;1524;2786
0;6;46;19;missEBM;1524;1419
0;6;47;31;missEBM;1524;1419
0;6;48;52;missEBM;1524;1419
0;6;50;6;missEBM;1524;1419
0;6;50;19;missEBM;1977;4667
0;6;51;58;missEBM;1524;1419
0;6;52;29;missEBM;1977;2776
0;6;53;14;missEBM;1524;1419
0;6;54;28;missEBM;1524;1419
0;6;55;7;missEBM;1977;4849
0;6;55;23;missEBM;1966;4737
0;6;56;47;missEBM;1977;4667
0;6;59;2;missEBM;1966;8938
0;7;0;25;missEBM;1966;2846
0;7;3;52;missEBM;1524;2786
0;7;5;21;missEBM;1524;1419
0;7;6;38;missEBM;1524;1419
0;7;10;3;missEBM;1524;1419
0;7;11;19;missEBM;1524;1419
0;7;12;38;missEBM;1524;1419
0;7;13;53;missEBM;1524;1419
0;7;15;23;missEBM;1524;1419
0;7;16;35;missEBM;1524;1419
0;7;17;48;missEBM;1524;4667
0;7;19;50;missEBM;1524;1419
0;7;21;12;missEBM;1524;1419
0;7;22;31;missEBM;1524;4849
0;7;23;43;missEBM;1977;4667
0;7;25;41;missEBM;1524;4723
0;7;26;13;missEBM;1977;2836
0;7;26;48;missEBM;1966;8939
0;7;27;27;missEBM;1524;1419
0;7;28;42;missEBM;1524;4669
0;7;29;50;missEBM;1977;4891
0;7;30;28;missEBM;1524;4849
0;7;31;24;missEBM;1966;8940
0;7;31;39;missEBM;1977;5099
0;7;32;15;missEBM;1524;2846
0;7;32;44;missEBM;1966;4851
0;7;33;28;missEBM;1524;4837
0;7;34;13;missEBM;1977;4723
0;7;34;56;missEBM;1966;4863
0;7;35;6;missEBM;1524;1419
0;7;36;15;missEBM;1966;4667
0;7;36;19;missEBM;1977;4709
0;7;36;23;missEBM;1524;1419
0;7;37;37;missEBM;1524;1419
0;7;37;42;missEBM;1966;2856
0;7;38;49;missEBM;1524;1419
0;7;38;52;missEBM;1977;8938
0;7;39;11;missEBM;1966;4793
0;7;40;5;missEBM;1524;1419
0;7;40;34;missEBM;1966;4863
0;7;41;21;missEBM;1524;1419
0;7;41;32;missEBM;1977;2310
0;7;42;8;missEBM;1966;4711
0;7;42;35;missEBM;1524;1419
0;7;43;21;missEBM;1977;4849
0;7;43;35;missEBM;1966;2856
0;7;43;48;missEBM;1524;1419
0;7;44;53;missEBM;1977;8939
0;7;46;16;missEBM;1977;2846
0;7;46;28;missEBM;1966;4865
0;7;47;37;missEBM;1524;1419
0;7;47;52;missEBM;1977;4891
0;7;48;4;missEBM;1966;4851
0;7;48;36;missEBM;5194;2666
0;7;48;48;missEBM;1524;2786
0;7;49;25;missEBM;1966;8940
0;7;49;32;missEBM;5192;4627
0;7;50;0;missEBM;1524;1419
0;7;50;12;missEBM;1956;4611
0;7;50;31;missEBM;1977;2836
0;7;50;52;missEBM;1966;4781
0;7;50;58;missEBM;1948;2676
0;7;51;17;missEBM;1524;1419
0;7;51;54;missEBM;5194;4613
0;7;51;58;missEBM;1977;4849
0;7;53;15;missEBM;1966;2876
0;7;55;48;missEBM;1966;2846
0;8;0;6;missEBM;1977;4849
0;8;1;33;missEBM;1966;2846
