Flow;Avg. assign time;Max. assign time;Avg. mission time;Max. mission time;No. missions  done;No. pals;No. pals / h
missEBM;00:00:01;00:00:02;00:04:44;00:09:41;237;237;57,98
TOTAL;00:00:01;00:00:02;00:04:44;00:09:41;237;237;57,98
