Flow;Avg. assign time;Max. assign time;Avg. mission time;Max. mission time;No. missions  done;No. pals;No. pals / h
missEBM;00:00:01;00:00:02;00:04:39;00:08:02;239;239;58,85
TOTAL;00:00:01;00:00:02;00:04:39;00:08:02;239;239;58,85
