Flow;Avg. assign time;Max. assign time;Avg. mission time;Max. mission time;No. missions  done;No. pals;No. pals / h
Inbound;00:00:01;00:00:02;00:10:09;00:34:57;78;78;18,94
Outbound;00:01:34;02:13:01;00:13:56;00:32:38;85;85;20,64
TOTAL;00:00:50;02:13:01;00:12:08;00:34:57;163;163;39,58
