Flow;Avg. assign time;Max. assign time;Avg. mission time;Max. mission time;No. missions  done;No. pals;No. pals / h
missEBM;00:00:01;00:00:02;00:04:42;00:07:54;237;237;58,37
TOTAL;00:00:01;00:00:02;00:04:42;00:07:54;237;237;58,37
