Flow;Avg. assign time;Max. assign time;Avg. mission time;Max. mission time;No. missions  done;No. pals;No. pals / h
missEBM;00:00:01;00:00:02;00:04:41;00:08:15;241;241;59,34
TOTAL;00:00:01;00:00:02;00:04:41;00:08:15;241;241;59,34
