Flow;Avg. assign time;Max. assign time;Avg. mission time;Max. mission time;No. missions  done;No. pals;No. pals / h
missEBM;00:00:01;00:00:02;00:04:41;00:09:49;234;234;57,69
TOTAL;00:00:01;00:00:02;00:04:41;00:09:49;234;234;57,69
