Flow;Avg. assign time;Max. assign time;Avg. mission time;Max. mission time;No. missions  done;No. pals;No. pals / h
missEBM;00:00:01;00:00:02;00:04:38;00:07:58;236;236;58,25
TOTAL;00:00:01;00:00:02;00:04:38;00:07:58;236;236;58,25
